Leading.proteinsPositions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value daf2_d10_eat2_d10;Student's T-test q-value  daf2_d10_eat2_d10; Student's T-test Difference  daf2_d10_eat2_d10;Student's T-test Test statistic  daf2_d10_eat2_d10;Sign p-val: 0.05 
P91374(93);24,36;23,4923;24,3511;23,7865;25,8416;24,646;27,3067;25,8545;1,76903;0,0103779;-1,9147;-3,27066;+
P91374(153);19,9297;18,9253;21,483;19,1406;25,4069;25,0011;25,585;22,068;2,43658;0,00299559;-4,64558;-4,60843;+
P91374(157);21,2912;19,8808;17,1735;21,3589;19,9578;20,8191;21,4787;21,4339;0,425317;0,250344;-0,996266;-0,956912;
P91374(96);20,4607;21,1173;20,1213;20,0934;21,4763;20,0572;19,5769;19,4501;0,239216;0,44024;0,308014;0,590382;
P91398(243);19,1794;18,4173;18,7214;19,9398;20,7839;20,1653;20,264;21,4789;1,94165;0,00739026;-1,60856;-3,59478;+
P91423(57);17,4222;21,4242;17,7683;20,1632;21,8549;19,7756;21,5409;20,7828;0,842905;0,0818487;-1,79409;-1,68191;
P91482(107);19,7059;18,4095;21,1846;18,6198;23,204;22,5867;22,1644;24,4411;2,38293;0,00346082;-3,6191;-4,49163;+
P91482(323);20,5682;19,4434;20,887;19,1531;23,29;23,3217;23,0057;23,9275;3,46104;0,000808399;-3,37329;-7,26507;+
P91491(5);31,7733;31,7644;31,5466;31,2472;31,0821;31,4095;31,5102;29,3315;0,693981;0,12164;0,7495;1,43127;
P91502(400);18,4746;17,4757;20,2247;17,9276;19,1016;21,2409;21,2043;20,2669;1,30616;0,0277548;-1,92778;-2,45561;+
P91502(414);25,7684;26,4097;27,9307;26,7406;29,9244;29,1802;29,2105;25,6422;0,834151;0,0835712;-1,77696;-1,66729;
P91502(549);20,146;18,1252;21,8354;19,8678;25,856;24,9273;24,7573;26,5408;3,15599;0,00112308;-5,52681;-6,37817;+
P91502(550);20,4817;18,4796;21,2925;18,9978;20,5474;21,3123;19,9688;20,1885;0,431353;0,246487;-0,691353;-0,968106;
P91502(428);18,8065;19,0563;19,1351;18,5346;21,4899;20,6095;20,4605;21,5612;3,28637;0,000878261;-2,14715;-6,74597;+
P91502(571);18,9829;19,8374;19,0702;18,5508;26,6646;25,8657;25,8969;24,0521;4,3762;0;-6,50952;-10,5759;+
P91502(518);18,5933;19,0034;21,0846;19,6611;19,9323;20,4103;20,7842;20,0373;0,570219;0,165838;-0,705429;-1,21779;
P91502(445);19,9469;19,3675;20,3502;18,6555;18,9214;21,2225;21,2058;19,3314;0,358132;0,304636;-0,590219;-0,829829;
P91502(447);21,7197;18,4084;20,9557;21,0498;25,0697;24,867;24,7825;22,9484;2,34698;0,00381148;-3,88352;-4,4144;+
P91821(61);19,2422;19,8017;20,2727;16,6458;21,3167;21,3251;20,5865;19,519;0,946507;0,0620102;-1,69624;-1,85434;
P91856(332);20,086;20,4814;21,4299;21,1958;20,6892;19,6744;21,2904;21,4369;0,0170857;0,94566;0,0255752;0,0504222;
P91857(115);17,2667;18,1034;21,5315;19,4271;20,9689;21,4919;19,8661;20,5855;0,83066;0,0842764;-1,64593;-1,66146;
P91913(49);26,2911;24,7173;26,9295;23,8985;20,3154;19,2653;21,6662;20,6255;2,95359;0,00122824;4,99099;5,83817;+
P91913(33);25,3767;25,4676;26,4252;24,1204;19,3423;19,822;21,1519;21,1455;3,54656;0,000609195;4,98206;7,53088;+
P91913(92);25,2018;24,3705;26,9495;25,9615;21,4874;20,9128;20,57;20,528;3,69544;0,000565657;4,74627;8,01304;+
P91913(93);25,2018;24,3705;26,9495;25,9615;21,9283;20,6882;19,4189;20,1008;3,25327;0,001;5,08676;6,65106;+
P91914(115);21,8537;21,3011;22,158;21,5952;24,6592;24,1392;24,6887;21,8712;1,64752;0,0130562;-2,11256;-3,04989;+
P91914(27);18,7095;18,8862;19,1839;19,1319;21,4482;20,862;21,3006;21,5644;4,7406;0;-2,31594;-12,2323;+
P91914(93);18,8507;18,1066;21,8069;19,6203;23,57;21,2589;20,9948;24,4244;1,35852;0,0250624;-2,96593;-2,54474;+
P91917(281);19,1492;18,8322;18,9697;18,631;21,0346;21,3509;20,8824;20,3689;3,8865;0,000448133;-2,01366;-8,67021;+
P91918(97);23,6478;23,1;23,9361;23,0294;21,5424;21,1775;20,016;21,4576;2,91318;0,00120451;2,37993;5,73461;+
P91918(8);21,8165;18,4518;19,274;18,2947;20,9686;21,5504;20,7036;20,0182;0,761243;0,101191;-1,35094;-1,54507;
Q02335(259);18,4143;19,693;18,9045;19,5924;21,9575;20,7819;20,3127;21,1792;2,21538;0,00475307;-1,90676;-4,13832;+
Q02335(184);21,0922;18,9175;20,2162;19,6682;23,743;22,1984;22,6331;24,961;2,35533;0,00373608;-3,41034;-4,43227;+
Q03206(166);18,5451;18,9618;20,9834;19,916;21,2056;20,5192;21,6016;20,9054;1,31594;0,0270731;-1,45639;-2,47221;+
Q03562(244);19,9712;20,532;19,68;20,6395;20,3825;20,9194;21,4776;20,6843;1,05212;0,0487033;-0,660243;-2,02978;+
Q03564(315);18,1247;20,4369;19,3507;20,399;21,6442;21,5531;20,979;21,5634;1,77155;0,0103523;-1,85707;-3,27528;+
Q03567(241);18,4843;19,1095;21,0396;21,6608;21,7429;19,4318;20,7689;21,1537;0,330367;0,331388;-0,700803;-0,775791;
Q03567(7);23,9737;24,7743;23,4383;24,2001;23,0087;26,2475;26,6868;23,1869;0,280068;0,387559;-0,685864;-0,675158;
Q03601(834);25,3046;25,0257;24,6477;26,8051;25,0004;24,6263;24,3841;24,814;0,738796;0,108333;0,739594;1,50722;
Q04833(4605);20,0659;19,5799;20,9742;20,6233;21,7812;21,3958;21,4635;20,9233;1,64577;0,0131225;-1,08012;-3,04674;+
Q05036(533);20,05;19,4746;18,4764;18,1488;22,4011;22,2236;21,0296;22,172;2,78242;0,00163793;-2,91912;-5,40865;+
Q05036(479);18,7688;20,0391;20,2253;19,9277;21,9861;20,8589;18,9957;21,1676;0,687203;0,123854;-1,01185;-1,41973;
Q05062(133);19,9439;20,0652;20,3728;20,2473;17,9977;20,9423;21,6576;21,3268;0,145641;0,603144;-0,323804;-0,382765;
Q05062(144);18,9916;18,0877;21,9193;20,8969;20,8305;21,0849;20,8503;19,3318;0,230781;0,452194;-0,550496;-0,572487;
Q05062(184);19,2431;19,6399;19,4067;21,0488;21,8231;21,3981;21,301;20,3431;1,43087;0,0209558;-1,38169;-2,66894;+
Q05062(185);20,3492;18,5917;20,0502;19,3535;21,9961;20,1913;20,3341;18,8288;0,444159;0,237211;-0,75142;-0,991743;
Q067X2(125);20,0689;20,5155;21,6468;19,3885;25,5159;24,9621;25,7575;25,4676;4,23291;0,000771429;-5,02083;-9,98281;+
Q07750(118);17,7591;18,7572;20,9859;18,5463;20,5752;20,4973;20,7773;20,1302;1,09606;0,0439023;-1,4829;-2,10289;+
Q07750(31);21,3236;18,7279;19,274;18,4045;24,5459;23,4961;23,2064;22,5429;2,68286;0,00196026;-4,01531;-5,16943;+
Q09217(112);19,5878;20,3876;21,2332;18,9769;20,8361;20,4433;19,4635;20,9933;0,266786;0,403471;-0,387657;-0,647922;
Q09236(39);20,9237;18,5193;20,6361;19,2562;20,4703;19,9991;20,2442;20,9413;0,427195;0,248877;-0,579915;-0,960397;
Q09236(45);20,5046;17,0105;18,4263;18,0214;21,3102;21,2174;21,6577;20,4679;1,86256;0,00861492;-2,67262;-3,44465;+
Q09236(14);21,9135;19,0216;17,4121;20,0935;22,2958;22,1969;23,1411;26,1248;1,56551;0,015695;-3,82948;-2,90392;+
Q09237(795);20,6751;20,2753;20,8447;21,227;20,3234;21,2686;21,2891;21,5468;0,478324;0,215421;-0,351473;-1,05413;
Q09237(832);18,8885;19,1539;19,6723;19,9918;21,8569;19,7606;21,2079;20,2703;1,35377;0,0254098;-1,34731;-2,53662;+
Q09248(67);20,1254;18,1525;17,7565;19,197;20,7767;19,9165;21,2474;21,4002;1,7411;0,0108481;-2,02735;-3,2194;+
Q09250(74);21,9126;19,6558;18,1119;19,5473;20,1446;20,8308;19,7508;19,9358;0,169348;0,555907;-0,358614;-0,437439;
Q09269(83);23,1786;22,5907;23,1243;24,2115;23,2056;23,8312;24,7747;22,4157;0,181691;0,532652;-0,280506;-0,4653;
Q09289(347);23,584;24,9307;26,3653;24,1688;27,2186;25,3283;26,4895;27,0267;1,26253;0,0306517;-1,75353;-2,38178;+
Q09289(362);25,8695;24,6598;25,595;23,0659;24,7667;24,2784;24,9082;24,7712;0,0638812;0,804572;0,116443;0,179818;
Q09289(338);25,5939;24,953;27,3235;27,0386;25,2179;24,9496;24,9505;22,9778;1,16103;0,0377046;1,70331;2,2113;+
Q09289(242);17,9261;17,5224;21,0225;17,8633;21,2189;19,9883;21,8077;20,3802;1,31828;0,0270135;-2,26521;-2,47618;+
Q09289(130);24,0865;23,7528;23,7721;23,1807;25,9132;26,3212;25,6029;24,1603;1,92195;0,00768088;-1,80139;-3,55711;+
Q09289(122);20,8363;17,4914;21,3765;18,644;23,9412;23,4205;24,3081;24,569;2,48585;0,00261486;-4,47263;-4,71732;+
Q09289(105);18,7138;19,5991;18,8849;20,6442;21,0544;20,207;21,7143;20,6331;1,42084;0,0215312;-1,44174;-2,65164;+
Q09289(241);17,2029;19,82;19,849;17,5204;21,1257;21,3831;21,2904;21,3745;2,02039;0,00639599;-2,69537;-3,74719;+
Q09350(297);19,9144;20,664;21,392;20,5717;20,8564;20,7838;20,5729;19,1027;0,243171;0,434963;0,306539;0,598724;
Q09407(34);19,0327;21,0393;20,8212;20,0732;20,4437;18,8598;21,8222;19,9552;0,0126448;0,959521;-0,0286183;-0,0374985;
Q09422(156);19,5523;19,7773;19,4185;19,0097;20,3354;20,9585;20,8691;20,9995;3,03722;0,00113589;-1,3512;-6,05691;+
Q09422(127);24,469;24,7446;24,3222;23,9059;22,1096;22,3017;22,4699;23,973;1,93099;0,00767645;1,6469;3,57438;+
Q09422(76);20,6672;20,7484;18,1729;20,3518;24,3813;23,7507;24,1987;23,952;3,21098;0,000957404;-4,08562;-6,53131;+
Q09436(302);20,7646;18,418;20,4832;18,53;21,77;20,9465;21,9437;22,611;1,72441;0,0114108;-2,26883;-3,18892;+
Q09444(259);19,0507;18,7224;19,7458;21,2548;26,3639;27,6649;26,5082;28,2829;4,31418;0,00046281;-7,51154;-10,3153;+
Q09444(303);24,9388;24,7677;26,0943;24,8012;27,4993;26,0382;27,1602;22,2234;0,180907;0,533526;-0,579762;-0,463541;
Q09444(305);20,4813;20,3657;20,0166;19,9604;25,753;24,355;25,5024;24,0171;4,37969;0;-4,70089;-10,5907;+
Q09444(307);24,105;24,2801;24,3021;22,6418;26,4196;27,0973;25,3294;24,8236;1,72983;0,0111772;-2,08524;-3,1988;+
Q09489(98);18,2969;20,4902;20,8166;21,3111;21,4672;20,443;21,3262;20,5546;0,451519;0,232232;-0,71905;-1,00526;
Q09489(8);17,175;17,5559;19,8168;19,4277;21,3281;18,6408;20,9448;20,6685;1,11229;0,0418842;-1,90173;-2,12993;+
Q09490(38);18,6371;19,6273;17,8264;18,445;21,0776;19,965;20,7118;20,9557;2,40978;0,00331049;-2,04358;-4,54986;+
Q09490(40);23,6523;24,1453;23,1751;21,7769;24,7049;25,7863;24,2956;24,6966;1,504;0,0176731;-1,68343;-2,7959;+
Q09533(208);19,6859;18,7808;22,0323;20,5277;19,6866;20,6354;19,8472;21,4566;0,0665158;0,797672;-0,149773;-0,186773;
Q09533(121);18,7102;19,9242;17,8683;18,7393;21,2429;20,8048;19,8557;21,008;1,98704;0,00682759;-1,91737;-3,68226;+
Q09533(30);21,629;20,2561;21,5087;19,7466;23,1274;23,1553;23,2837;24,0445;2,65473;0,00199479;-2,61763;-5,10319;+
Q09533(39);19,8398;20,448;20,0808;19,8404;24,0121;23,9714;23,7357;21,836;3,08031;0,00105415;-3,33654;-6,17201;+
Q09560(840);18,9485;20,763;21,5647;19,2069;20,6357;20,9119;21,3526;19,757;0,324619;0,336696;-0,543527;-0,764478;
Q09568(563);25,0148;24,3316;24,6751;23,046;25,3462;24,7198;26,2743;22,57;0,203534;0,49404;-0,460665;-0,513671;
Q09581(5);20,4803;21,639;21,6177;18,5783;21,9118;20,5888;20,6991;20,2932;0,138737;0,618569;-0,294392;-0,366534;
Q09581(232);21,376;20,4225;20,6991;19,5358;21,3212;20,1277;21,8856;20,8403;0,451108;0,232583;-0,535368;-1,00451;
Q09581(200);19,7857;20,4056;19,9492;20,1351;20,8307;19,5215;21,6111;20,3841;0,523623;0,189186;-0,517943;-1,13548;
Q09581(74);24,8365;25,2251;26,6661;24,8115;25,1276;24,3636;24,6808;25,2777;0,491225;0,207416;0,52242;1,07745;
Q09581(185);18,1524;19,4992;21,5143;20,4346;23,5811;23,6731;24,492;25,8728;2,6394;0,00213127;-4,50463;-5,06733;+
Q09614(846);20,9007;20,6445;21,5145;20,7531;24,1274;24,7485;23,6605;22,5164;2,82342;0,00144361;-2,81003;-5,50937;+
Q09665(57);19,1929;18,5156;18,896;17,6613;19,4353;21,5295;21,2312;20,3731;1,94527;0,0073152;-2,07584;-3,60173;+
Q09934(851);20,1465;18,914;20,762;18,5558;20,4438;21,2573;21,1297;21,0954;1,34924;0,0255967;-1,38702;-2,5289;+
Q09934(443);22,4774;22,2683;22,8503;21,7949;24,2216;23,4141;25,1079;23,5839;2,10815;0,00540195;-1,73413;-3,92071;+
Q09934(356);19,674;19,3128;18,997;19,8479;22,6847;21,1995;22,3061;22,9944;3,20718;0,00106452;-2,83823;-6,52066;+
Q09936(37);22,3235;23,0701;22,861;23,2635;20,9558;21,4241;21,2069;19,1205;2,09657;0,00549385;2,2027;3,89759;+
Q09936(217);21,3454;19,8183;18,9816;20,4388;21,8748;19,3207;19,984;20,8868;0,195748;0,507098;-0,370576;-0,49656;
Q09936(121);19,3348;19,327;18,3028;20,3928;20,6272;21,0417;20,7903;20,962;1,87745;0,00832086;-1,51597;-3,47269;+
Q09936(263);18,1587;19,9214;20,0373;19,2159;21,4196;21,5088;19,5273;20,2216;1,07524;0,0462484;-1,336;-2,06823;+
Q09936(23);19,8458;19,5769;20,0423;18,2186;20,8382;20,2413;21,5768;21,4852;1,68956;0,0122315;-1,61448;-3,12562;+
Q09967(32);19,6142;20,4396;21,4264;18,3087;25,6911;24,1112;24,5397;23,6283;2,91044;0,00120064;-4,54536;-5,72764;+
Q09967(23);23,5813;25,3453;25,905;23,8014;27,422;25,8328;27,6711;25,4083;1,27073;0,0300453;-1,92533;-2,39564;+
Q09EE6(179);23,9053;24,3778;24,0848;24,7584;27,3182;27,9483;28,2153;26,3381;3,35498;0,000841121;-3,17338;-6,94614;+
Q09EE6(19);18,1822;18,7221;18,8995;19,7334;21,7156;19,8985;21,2247;21,4956;2,2627;0,00435054;-2,19928;-4,23641;+
Q09EE6(20);19,9842;19,6917;20,2105;20,337;21,2791;19,8228;21,3449;21,119;1,13233;0,0397513;-0,835612;-2,16335;+
Q0G831(125);19,9167;19,1944;19,8067;18,3188;21,521;21,3107;20,7433;21,5026;2,51991;0,00238876;-1,96024;-4,79356;+
Q0KHC0(68);22,1709;23,5156;22,6357;20,7629;20,0939;20,5508;19,771;20,5833;1,80127;0,00976758;2,0215;3,3302;+
Q10010(101);19,322;19,0756;21,0617;21,3185;27,5745;25,546;25,5196;24,0739;2,99142;0,00117487;-5,48405;-5,93638;+
Q10020(77);21,0246;20,5495;18,5858;17,1048;19,4207;21,2064;21,2982;20,8381;0,65641;0,134455;-1,37467;-1,36711;
Q10020(57);20,6447;19,9926;20,222;20,0507;21,918;21,0582;20,8931;20,3631;1,23855;0,0320155;-0,830599;-2,34137;+
Q10020(107);17,0991;18,9151;21,564;19,0188;20,6178;21,4923;20,6815;21,328;1,02916;0,0508513;-1,88066;-1,99163;
Q10020(108);18,8528;18,0574;17,4417;21,2683;20,9856;20,494;21,6303;20,2674;1,13926;0,0392509;-1,93931;-2,17493;+
Q10033(254);21,2583;17,6351;18,6884;19,3898;21,4927;21,3912;21,411;21,2145;1,50135;0,017711;-2,13443;-2,79127;+
Q10043(105);19,4512;21;18,8581;18,7015;21,7881;19,9892;21,4397;21,532;1,35538;0,0252319;-1,68455;-2,53938;+
Q10046(29);19,7921;20,3856;20,1351;19,3793;20,3579;19,4428;19,2491;20,9312;0,0564898;0,826954;-0,072226;-0,160132;
Q10121(170);19,0864;17,8875;19,0856;19,5855;21,5453;21,3197;20,2332;20,0467;1,93799;0,00740811;-1,87496;-3,58777;+
Q10121(101);19,8109;17,89;17,5442;19,0973;21,7896;20,7183;21,6032;19,946;1,93639;0,00745628;-2,42868;-3,5847;+
Q10121(28);22,6952;22,9095;23,2984;23,2223;24,9743;23,3049;23,6876;25,6264;1,29506;0,0285502;-1,36697;-2,4368;+
Q10121(31);18,8763;19,1115;18,8214;18,8311;22,1193;22,8477;21,4845;22,3677;4,5396;0;-3,29471;-11,2912;+
Q10130(368);18,2746;20,528;20,6105;20,1758;20,6895;20,4425;21,2268;20,9548;0,80648;0,0903764;-0,931196;-1,62101;
Q10130(369);19,9623;16,0321;20,4584;18,9541;21,8451;20,57;20,9108;20,5481;1,06005;0,0479184;-2,11679;-2,04296;+
Q10454(207);18,0243;19,9737;19,0302;17,0375;21,9999;20,8035;20,8514;21,4652;2,13865;0,00532366;-2,7636;-3,98197;+
Q10454(230);24,3405;24,0893;24,4357;25,6785;26,4711;26,3724;24,9466;24,4286;0,719339;0,113333;-0,918677;-1,47432;
Q10454(224);20,2049;18,62;17,9081;19,3524;21,5128;21,1637;21,7773;19,0931;1,25975;0,030737;-1,86541;-2,37709;+
Q10454(368);24,9801;23,0978;24,4526;24,3415;27,9548;25,9983;27,5994;24,0488;1,17458;0,0366542;-2,18235;-2,23398;+
Q10454(334);19,4746;19,0384;17,3017;19,7567;20,4578;20,4492;20,7537;20,0327;1,43974;0,0204647;-1,53048;-2,68426;+
Q10454(136);18,6589;20,4655;18,8731;20,6558;21,4102;21,4202;20,502;21,4976;1,44782;0,0199271;-1,54414;-2,69823;+
Q10454(296);18,2535;19,6287;19,2343;19,9369;21,2162;20,6237;19,9389;19,9244;1,28739;0,0291484;-1,16245;-2,4238;+
Q10454(158);20,4472;18,5649;21,2694;18,8025;24,2067;23,507;23,3839;24,8958;2,90594;0,00119298;-4,22733;-5,71619;+
Q10454(71);19,5274;20,5644;16,1443;17,9454;20,0201;21,1143;21,105;21,0919;1,20381;0,0344283;-2,28745;-2,28297;+
Q10457(410);18,1846;18,8186;19,4113;18,768;19,9091;20,0019;20,8308;20,8352;2,37754;0,00344641;-1,59866;-4,48001;+
Q10578(837);19,1214;20,6635;20,113;18,9202;20,6389;20,1623;21,3384;20,2654;0,929834;0,0649852;-0,896726;-1,82664;
Q10578(650);20,0527;19,534;18,967;20,3396;19,9856;21,4446;21,8482;21,0291;1,44795;0,0199397;-1,35358;-2,69846;+
Q10578(999);18,5804;18,893;18,0677;18,9841;22,2758;21,0196;22,4784;24,2635;2,83869;0,00133537;-3,87803;-5,54722;+
Q10578(762);21,088;19,9288;19,0721;19,8736;21,2165;20,8108;20,2454;20,0684;0,565851;0,167995;-0,59463;-1,21013;
Q10651(685);22,8974;23,8557;24,5957;22,5765;20,8524;20,3595;20,9677;20,6377;2,93654;0,00121824;2,77697;5,79431;+
Q10655(49);18,8627;19,9384;21,8603;21,6511;19,7064;19,8882;21,0975;21,1552;0,0501579;0,845731;0,116309;0,143059;
Q10657(67);26,1721;25,5005;26,7753;28,0139;19,613;21,3714;21,7744;21,5112;3,58141;0,000632836;5,54794;7,64151;+
Q10901(485);25,253;26,7901;27,1346;26,2614;27,2586;25,755;26,1134;23,8913;0,315629;0,346186;0,605187;0,746691;
Q10943(142);20,2807;18,2332;19,6557;20,1006;20,6132;21,0044;20,6658;20,3472;1,1883;0,0357329;-1,09012;-2,25695;+
Q11080(31);24,378;24,8736;25,6429;25,5085;21,9628;21,0182;21,2824;20,4348;4,00204;0,000545455;3,9262;9,0899;+
Q11101(141);20,6195;19,3004;20,471;20,885;19,7479;21,0234;21,494;19,8348;0,139815;0,616082;-0,206015;-0,369077;
Q11176(325);22,9363;23,2514;24,4129;22,5044;20,6229;21,3438;19,7097;19,2538;2,56868;0,00207082;3,04369;4,90409;+
Q17334(277);20,5493;20,7959;19,9951;20,3785;20,238;20,8197;21,6134;21,404;0,836394;0,0831943;-0,589045;-1,67104;
Q17334(316);24,3264;23,3472;24,1838;23,1029;22,7632;21,7778;23,2547;23,3621;1,04349;0,0492218;0,950601;2,01542;+
Q17334(90);19,2129;17,9398;18,1519;17,9231;24,263;24,2555;23,8419;20,9651;2,97669;0,00115719;-5,02446;-5,89799;+
Q17339(313);21,2567;19,9645;19,1021;20,302;19,6897;20,2777;21,6661;19,9283;0,141559;0,612265;-0,234163;-0,373184;
Q17348(85);18,3376;20,9457;17,5112;20,2606;20,849;20,4276;20,1922;20,4554;0,730526;0,110377;-1,21726;-1,49325;
Q17361(345);21,2001;21,5381;23,8019;21,4981;26,2289;25,2218;25,4133;25,6267;2,8761;0,00116693;-3,61315;-5,64078;+
Q17361(129);19,0235;20,6005;20,1979;19,5327;25,0138;26,9066;25,2532;27,2862;4,06807;0,0006;-6,27631;-9,3377;+
Q17361(461);20,5537;18,757;19,6079;18,6034;24,5181;24,5753;24,5348;24,9547;4,5686;0;-5,26524;-11,4227;+
Q17361(283);20,9873;18,8396;20,6327;19,4863;21,196;21,3395;21,7111;21,0675;1,38618;0,0233977;-1,34205;-2,59206;+
Q17389(773);23,6843;23,0773;22,808;23,0025;17,5775;20,4719;21,3241;21,2089;1,8079;0,00967186;2,99741;3,3425;+
Q17405(42);26,1168;24,9783;25,8808;25,6164;27,795;27,2987;27,5662;24,1951;0,565899;0,168041;-1,06569;-1,21021;
Q17405(59);22,1329;21,468;22,5854;22,8163;23,2756;23,1729;23,6589;22,8032;1,5237;0,0170292;-0,97702;-2,83036;+
Q17405(62);19,1639;19,7433;17,9711;18,3154;21,7086;21,1789;21,8179;20,2625;2,41108;0,00332116;-2,44358;-4,55268;+
Q17405(8);23,7007;24,2846;23,3471;21,6976;27,5788;27,1793;26,4607;24,2269;1,80253;0,00977481;-3,10392;-3,33254;+
Q17405(39);26,6209;26,0656;25,9006;23,8698;27,9107;27,5041;23,3111;24,5207;0,0544878;0,832378;-0,197434;-0,154756;
Q17410(258);19,2698;20,2929;17,6234;19,163;24,8054;23,4249;24,2269;25,737;3,51498;0,000720222;-5,46122;-7,4318;+
Q17413(37);19,0732;19,9953;19,6082;18,6613;21,7437;21,1032;20,2575;20,4754;1,89431;0,00816162;-1,56046;-3,50457;+
Q17430(84);18,6545;21,8221;20,2089;18,8743;23,0848;22,1993;24,0261;26,9477;1,78762;0,00994857;-4,1745;-3,30493;+
Q17435(17);18,5715;18,7497;17,3579;21,4892;21,1287;21,2379;18,9119;20,6662;0,680403;0,126092;-1,44408;-1,40814;
Q17446(260);20,0429;19,1124;20,1673;19,3178;21,0996;20,8845;20,7356;21,3493;2,44244;0,00302558;-1,35713;-4,62129;+
Q17455(301);19,1069;18,7751;20,7028;18,2843;26,301;25,7026;26,0578;23,7095;3,65806;0,000686084;-6,22542;-7,88961;+
Q17489(247);20,5872;18,0717;19,8819;20,8349;21,6546;21,3563;20,5291;21,2449;1,04828;0,0488536;-1,35229;-2,02339;+
Q17542(583);25,0304;25,926;26,1881;25,776;26,3895;26,9419;27,355;28,7996;1,54558;0,0161686;-1,64139;-2,86879;+
Q17543(260);24,0351;22,9651;24,6369;21,424;27,2365;25,8392;26,3182;26,6469;2,27028;0,00437182;-3,24491;-4,25224;+
Q17561(129);20,1315;19,385;20,5632;19,5617;21,5025;19,8886;21,3279;21,2402;1,24559;0,0317748;-1,07947;-2,35321;+
Q17569(299);18,984;18,6954;20,3047;18,4198;25,1486;24,65;24,1965;25,1782;4,67296;0;-5,69238;-11,9078;+
Q17569(136);23,4231;24,2677;20,3545;23,007;21,1318;19,5545;19,3742;21,5152;1,24886;0,0314821;2,36916;2,35873;+
Q17569(218);25,2105;25,9661;25,814;25,9256;26,5049;26,0351;24,9755;21,1848;0,376155;0,289877;1,05399;0,864401;
Q17569(130);26,5903;26,3282;26,902;24,555;20,6343;20,1863;21,6565;21,0703;3,83834;0,000423529;5,20705;8,50034;+
Q17569(203);25,5686;23,1856;24,6013;21,7831;25,9497;23,9975;25,8176;21,3376;0,136712;0,622874;-0,490964;-0,361744;
Q17571(277);26,9362;26,4772;27,874;26,5973;19,9282;21,5037;21,1248;20,2002;4,86326;0;6,28197;12,842;+
Q17571(282);20,1793;17,7595;19,0874;19,8306;21,4798;20,7091;21,7441;20,7064;1,75873;0,0104823;-1,94567;-3,25172;+
Q17606(61);24,8283;23,0344;23,8322;22,5481;21,2176;21,4165;20,4618;20,0106;2,46267;0,00269369;2,78417;4,66589;+
Q17624(62);27,4668;26,8483;27,7356;24,2112;28,5692;27,4422;28,0739;25,5231;0,342341;0,319844;-0,836633;-0,799216;
Q17624(63);26,4595;26,6996;26,4056;26,5849;27,4468;27,2338;27,0847;23,1915;0,107883;0,689463;0,298165;0,29211;
Q17624(343);20,1427;16,2444;20,617;18,8315;25,4104;25,7243;26,2491;27,4121;3,28346;0,00087257;-7,24007;-6,73756;+
Q17624(363);18,8299;19,668;20,605;21,217;24,3964;24,5666;24,2059;22,9446;3,0754;0,00104847;-3,94838;-6,1588;+
Q17624(254);17,2704;18,4593;21,0108;20,5651;21,716;20,1484;21,0658;21,1386;0,912655;0,0679103;-1,6908;-1,79808;
Q17624(365);21,4842;21,2171;19,7655;19,1769;23,6904;23,0668;23,0875;24,9793;2,43334;0,00298246;-3,29509;-4,60132;+
Q17624(495);19,9238;20,7419;21,3703;17,7044;21,2978;19,8678;20,2389;20,8276;0,304209;0,35959;-0,622921;-0,723928;
Q17644(166);17,5084;18,004;19,5098;20,6845;24,1345;23,8864;24,3215;23,5781;3,30923;0,000901786;-5,05348;-6,81214;+
Q17649(213);20,3499;21,2851;18,8597;19,1092;21,8895;20,0625;20,876;19,9215;0,496262;0,204818;-0,786387;-1,08652;
Q17649(225);24,6249;24,6896;24,8136;20,8487;25,4116;25,1278;25,5594;27,3768;1,00088;0,0546282;-2,1247;-1,94465;
Q17649(228);23,6234;23,7746;23,6495;23,635;21,1608;21,0187;20,1544;19,6247;3,89378;0,000451883;3,18097;8,69615;+
Q17663(472);19,1307;21,1048;19,2908;19,6265;24,4942;23,9448;24,0711;23,0892;3,57897;0,00062908;-4,11161;-7,63371;+
Q17663(511);18,9847;19,0006;19,5184;19,0076;24,4909;22,312;23,6905;25,2912;3,51466;0,000718232;-4,81829;-7,43081;+
Q17693(560);18,7234;20,7165;20,6325;18,8439;19,4839;20,9259;19,4423;21,5074;0,347677;0,315387;-0,610834;-0,809597;
Q17698(147);24,9605;25,8695;25,5309;24,4043;25,4485;23,7402;23,7052;23,7125;0,990556;0,0561243;1,03966;1,9275;
Q17698(84);26,8074;27,0166;26,723;27,6601;21,4138;19,1078;21,5094;19,5881;4,27882;0,000434109;6,647;10,1695;+
Q17698(106);20,5965;19,531;19,152;20,2921;20,4549;20,7849;21,1857;20,6751;1,27602;0,0299511;-0,882283;-2,40457;+
Q17698(129);19,6504;18,181;18,1196;19,789;20,7366;20,0178;20,1902;20,8645;1,64395;0,0132112;-1,51732;-3,04347;+
Q17698(107);15,9878;21,437;20,5454;20,2863;21,4795;19,9051;21,1508;20,8806;0,459974;0,226343;-1,28988;-1,02074;
